期号,红1,红2,红3,红4,红5,红6,篮球,奖池奖金(元),一等奖 注数,一等奖 奖金(元),二等奖 注数,二等奖 奖金(元),总投注额(元),开奖日期
7036,3,14,21,23,30,31,10,"106,803,130",1,"5,000,000",18,"1,503,449","134,541,242",2007-04-01
7037,10,11,16,23,31,33,16,"119,971,358",0,0,12,"2,560,488","116,812,284",2007-04-03
7038,3,11,14,19,21,30,5,"111,020,550",3,"5,000,000",26,"542,876","119,984,574",2007-04-05
7039,6,7,19,24,27,29,1,"98,857,405",5,"5,000,000",82,"365,276","143,011,060",2007-04-08
7040,13,14,15,19,24,30,10,"122,492,627",0,0,45,"225,097","118,331,436",2007-04-10
7041,1,3,9,11,26,31,12,"124,694,666",1,"5,000,000",47,"357,548","121,205,882",2007-04-12
7042,3,13,16,19,32,33,8,"130,625,495",0,0,27,"512,540","142,691,830",2007-04-15
7043,3,8,10,11,14,30,5,"118,014,140",4,"5,000,000",39,"442,055","122,386,058",2007-04-17
7044,9,13,20,21,24,32,8,"125,002,097",1,"5,000,000",47,"595,146","124,340,438",2007-04-19
7045,1,12,18,21,28,30,10,"125,430,648",2,"5,000,000",71,"342,722","136,615,924",2007-04-22
7046,2,6,7,9,19,26,14,"115,125,408",4,"5,000,000",54,"418,909","119,427,296",2007-04-24
7047,2,4,16,18,23,30,6,"110,480,448",3,"5,000,000",57,"423,890","119,916,622",2007-04-26
7048,2,11,12,15,17,28,12,"97,830,540",5,"5,000,000",56,"514,587","136,379,094",2007-04-29
7049,4,14,18,19,31,33,2,"112,092,768",2,"5,000,000",39,"266,617","109,032,730",2007-05-01
7050,1,5,8,13,18,25,2,"107,678,022",3,"5,000,000",87,"283,895","105,495,070",2007-05-03
7051,3,14,16,26,27,33,13,"86,681,988",6,"5,000,000",30,"700,308","128,364,720",2007-05-06
7052,2,3,7,8,26,29,7,"76,681,988",2,"5,000,000",25,"3,000","107,460,952",2007-05-08
7053,10,13,16,17,18,27,11,"78,099,634",2,"5,000,000",19,"257,540","109,175,190",2007-05-10
7054,1,3,16,18,23,28,5,"94,220,186",1,"5,000,000",35,"258,619","126,641,628",2007-05-13
7055,2,6,11,22,28,29,2,"107,553,346",2,"5,000,000",66,"151,514","109,364,728",2007-05-15
7056,14,17,21,29,31,32,12,"110,967,359",1,"5,000,000",26,"755,103","111,070,368",2007-05-17
7057,5,11,18,19,20,21,9,"98,367,957",3,"5,000,000",27,"207,459","125,193,540",2007-05-20
7058,7,8,10,13,25,27,7,"81,636,258",6,"5,000,000",85,"66,899","106,118,326",2007-05-22
7059,1,3,4,6,7,29,14,"100,734,154",0,0,12,"682,067","107,668,468",2007-05-24
7060,1,2,8,16,19,29,5,"104,817,064",1,"5,000,000",42,"504,606","122,877,416",2007-05-27
7061,1,6,7,11,20,23,5,"116,607,972",0,0,25,"1,100,484","107,509,478",2007-05-29
7062,8,17,20,29,30,33,9,"114,902,128",2,"5,000,000",30,"645,101","106,979,026",2007-05-31
7063,10,15,17,24,26,28,12,"106,832,163",3,"5,000,000",48,"336,876","124,445,210",2007-06-03
7064,2,6,9,16,21,23,16,"110,036,169",1,"5,000,000",23,"832,290","107,504,678",2007-06-05
7065,4,7,19,21,25,31,7,"83,340,246",6,"5,000,000",69,"111,732","106,720,024",2007-06-07
7066,5,11,16,24,32,33,8,"96,919,886",1,"5,000,000",49,"162,504","122,787,844",2007-06-10
7067,6,11,13,17,21,23,11,"103,289,153",1,"5,000,000",27,"180,464","106,213,796",2007-06-12
7068,11,18,19,22,23,28,1,"107,727,339",1,"5,000,000",24,"917,601","109,334,584",2007-06-14
7069,3,4,11,12,14,32,12,"99,446,444",4,"5,000,000",17,"1,608,504","137,143,568",2007-06-17
7070,6,8,15,17,18,30,12,"106,780,760",4,"5,000,000",54,"216,939","114,811,644",2007-06-19
7071,1,6,14,21,30,31,9,"94,053,292",4,"5,000,000",37,"458,628","116,647,272",2007-06-21
7072,2,4,8,13,14,33,16,"97,941,980",5,"5,000,000",40,"309,521","131,085,768",2007-06-24
7073,5,9,11,19,28,31,2,"99,771,100",4,"5,000,000",55,"170,097","109,359,702",2007-06-26
7074,8,13,15,25,27,28,3,"89,486,080",5,"5,000,000",47,"134,179","108,638,452",2007-06-28
7075,13,16,17,22,30,32,3,"111,628,560",2,"5,000,000",34,"405,157","125,477,334",2007-07-01
7076,6,12,15,16,20,31,2,"123,005,273",0,0,29,"915,367","106,329,426",2007-07-03
7077,6,8,14,21,28,29,2,"124,864,516",2,"5,000,000",68,"406,934","107,569,632",2007-07-05
7078,4,6,7,23,25,32,1,"121,501,677",3,"5,000,000",23,"1,180,581","121,749,606",2007-07-08
7079,3,4,14,20,21,25,14,"125,649,416",1,"5,000,000",41,"520,603","103,249,956",2007-07-10
7080,1,8,16,18,19,29,4,"97,226,409",7,"5,000,000",125,"122,770","105,252,328",2007-07-12
7081,9,14,15,19,24,33,13,"93,048,135",5,"5,000,000",58,"153,855","120,651,274",2007-07-15
7082,5,15,17,18,25,32,15,"63,491,988",7,"5,000,000",46,"50,719","101,473,624",2007-07-17
7083,11,14,18,20,21,26,5,"49,759,465",5,"5,000,000",37,"130,511","100,264,804",2007-07-19
7084,6,10,12,14,20,27,10,"52,464,240",4,"5,000,000",29,"39,972","117,091,964",2007-07-22
7085,2,12,17,19,29,30,12,"51,669,400",4,"5,000,000",48,"82,188","101,375,038",2007-07-24
7086,5,8,14,22,27,29,16,"56,776,770",3,"5,000,000",67,"128,618","102,347,618",2007-07-26
7087,1,3,4,5,8,21,9,"61,822,770",1,"5,000,000",34,"126,630","115,648,010",2007-07-29
7088,2,4,10,28,29,33,6,"66,151,984",1,"5,000,000",22,"181,737","97,931,132",2007-07-31
7089,3,7,8,15,19,28,3,"48,194,132",11,"5,000,000",102,"29,588","99,074,148",2007-08-02
7090,5,11,13,27,30,31,2,"62,685,021",1,"5,000,000",49,"170,474","114,857,394",2007-08-05
7091,2,11,17,30,31,32,7,"60,352,834",2,"5,000,000",25,"131,448","98,640,430",2007-08-07
7092,14,18,22,23,24,33,9,"70,959,546",1,"5,000,000",33,"202,684","100,547,190",2007-08-09
7093,5,10,13,15,19,29,2,"90,503,771",1,"5,000,000",142,"74,077","115,267,274",2007-08-12
7094,3,5,18,19,24,32,2,"100,452,531",3,"5,000,000",41,"260,788","100,279,716",2007-08-14
7095,1,6,8,18,29,32,7,"88,670,436",4,"5,000,000",54,"355,094","101,322,650",2007-08-16
7096,9,10,20,22,30,32,8,"88,142,080",2,"5,000,000",31,"130,944","116,298,698",2007-08-19
7097,4,8,13,18,26,30,11,"58,142,076",12,"5,000,000",48,"3,000","99,828,090",2007-08-21
7098,2,3,5,11,19,20,12,"57,206,046",3,"5,000,000",45,"133,942","103,284,906",2007-08-23
7099,3,4,14,27,31,33,5,"47,539,875",5,"5,000,000",61,"107,731","115,727,006",2007-08-26
7100,8,18,27,29,30,32,6,"58,132,155",5,"5,000,000",43,"155,404","100,804,514",2007-08-28
7101,15,16,18,21,22,30,14,"65,672,848",2,"5,000,000",19,"395,654","103,261,246",2007-08-30
7102,4,6,8,18,20,33,11,"78,198,594",2,"5,000,000",27,"357,551","119,528,600",2007-09-02
7103,7,9,25,27,30,32,1,"92,238,351",0,0,26,"231,424","102,844,920",2007-09-04
7104,2,8,12,14,20,32,4,"87,272,631",3,"5,000,000",30,"143,346","108,150,420",2007-09-06
7105,2,7,10,17,23,29,14,"87,904,974",6,"5,500,000",111,"118,271","134,273,360",2007-09-09
7106,12,18,21,24,25,29,8,"103,883,381",1,"8,000,000",20,"449,537","113,328,304",2007-09-11
7107,2,8,9,18,24,28,10,"81,343,980",6,"5,500,000",38,"458,107","118,762,906",2007-09-13
7108,3,7,12,13,20,33,2,"93,725,910",3,"6,000,000",77,"152,404","136,419,830",2007-09-16
7109,1,4,7,8,13,14,4,"111,274,026",2,"6,500,000",50,"236,126","117,653,172",2007-09-18
7110,2,4,7,15,24,28,3,"100,710,964",4,"5,750,000",41,"537,061","119,714,108",2007-09-20
7111,2,9,10,12,13,17,11,"111,861,375",0,0,20,"1,300,881","136,651,412",2007-09-23
7112,7,11,14,16,25,32,11,"119,680,548",1,"11,000,000",38,"787,142","128,550,874",2007-09-25
7113,4,18,23,25,26,31,10,"124,934,931",1,"8,000,000",26,"920,265","124,724,404",2007-09-27
7114,5,12,15,24,27,33,5,"71,085,396",12,"5,250,000",167,"85,934","143,109,004",2007-09-30
7115,1,5,10,16,20,26,2,"93,248,246",0,0,53,"179,214","108,125,704",2007-10-02
7116,3,5,7,11,17,27,13,"68,977,594",7,"5,857,142",85,"54,097","113,457,608",2007-10-04
7117,3,7,9,10,26,32,1,"101,751,738",0,0,31,"453,098","132,239,116",2007-10-07
7118,4,10,16,18,25,32,15,"83,695,185",5,"6,200,000",48,"337,528","124,978,730",2007-10-09
7119,3,8,11,13,25,31,12,"30,000,000",23,"4,336,379",58,"96,366","124,850,416",2007-10-11
7120,6,7,11,12,18,25,1,"65,393,593",0,0,38,"399,175","136,778,106",2007-10-14
7121,3,10,21,22,27,28,6,"78,286,342",1,"11,000,000",28,"273,868","125,337,786",2007-10-16
7122,4,7,19,24,26,32,9,"63,286,341",7,"5,428,571",80,"3,000","130,402,942",2007-10-18
7123,1,13,15,23,28,32,2,"85,715,304",2,"6,500,000",19,"731,480","149,864,730",2007-10-21
7124,3,7,13,16,19,32,16,"98,375,173",0,0,41,"132,333","131,087,996",2007-10-23
7125,3,5,18,20,27,33,1,"133,082,056",0,0,71,"209,498","137,439,952",2007-10-25
7126,9,10,19,23,26,31,9,"71,731,920",15,"5,600,000",124,"256,852","170,508,318",2007-10-28
7127,6,9,13,16,24,28,11,"36,329,644",17,"5,176,470",78,"107,679","131,706,110",2007-10-30
7128,9,10,19,21,27,31,5,"55,153,745",1,"8,000,000",45,"226,896","130,058,308",2007-11-01
7129,5,7,20,21,22,30,8,"30,000,000",12,"5,174,527",93,"18,159","152,215,698",2007-11-04
7130,3,5,9,11,27,31,4,"58,548,310",5,"5,600,000",98,"102,980","134,915,286",2007-11-06
7131,3,5,7,16,22,27,5,"76,223,517",3,"6,000,000",29,"482,884","139,489,488",2007-11-08
7132,1,9,16,21,22,23,5,"114,258,687",0,0,33,"493,963","155,862,750",2007-11-11
7133,3,6,7,11,13,33,10,"63,276,884",11,"5,545,454",64,"146,497","145,163,392",2007-11-13
7134,1,4,10,13,18,25,15,"80,724,144",1,"8,000,000",47,"204,686","141,752,438",2007-11-15
7135,1,11,16,26,31,33,16,"119,586,385",0,0,32,"520,476","159,526,566",2007-11-18
7136,1,2,18,21,25,29,14,"111,148,212",4,"6,500,000",26,"1,037,600","148,075,802",2007-11-20
7137,3,7,8,18,20,22,3,"84,084,091",7,"5,428,571",74,"250,230","148,358,822",2007-11-22
7138,2,3,15,17,19,25,16,"128,761,636",0,0,85,"225,264","167,481,164",2007-11-25
7139,6,10,12,14,16,22,6,"49,342,984",22,"5,136,363",62,"398,223","147,362,270",2007-11-27
7140,1,5,16,21,22,26,11,"48,688,880",4,"5,000,000",54,"153,538","143,598,644",2007-11-29
7141,2,3,4,6,17,31,8,"60,194,361",3,"5,000,000",33,"344,227","166,050,194",2007-12-02
7142,11,20,25,26,27,30,8,"97,282,809",0,0,35,"454,144","148,389,454",2007-12-04
7143,1,6,22,23,24,26,4,"126,145,669",1,"5,000,000",22,"659,666","152,332,662",2007-12-06
7144,8,14,23,25,28,32,16,"135,261,122",2,"5,000,000",59,"755,978","178,734,532",2007-12-09
7145,8,9,11,12,25,31,11,"127,241,856",4,"5,000,000",44,"635,342","156,683,190",2007-12-11
7146,4,18,22,24,26,30,9,"124,899,782",2,"5,000,000",41,"435,816","158,863,498",2007-12-13
7147,3,7,18,24,26,27,4,"121,358,164",4,"5,000,000",74,"518,958","179,005,766",2007-12-16
7148,3,9,16,17,23,28,7,"30,000,000",59,"2,056,918",169,"6,000","158,818,618",2007-12-18
7149,1,17,19,22,28,30,3,"50,801,224",2,"5,000,000",23,"573,935","149,288,714",2007-12-20
7150,3,5,11,13,19,24,5,"60,689,682",2,"5,000,000",78,"109,277","166,649,572",2007-12-23
7151,1,6,10,11,23,25,2,"35,258,288",8,"5,000,000",73,"85,530","153,939,934",2007-12-25
7152,11,17,21,29,30,33,8,"57,125,181",1,"5,000,000",33,"348,920","156,184,910",2007-12-27
7153,1,4,19,20,25,31,15,"84,553,908",1,"5,000,000",79,"175,924","169,633,854",2007-12-30
8001,2,4,7,9,14,29,3,"111,094,951",1,"5,000,000",53,"255,048","143,343,976",2008-01-01
8002,3,4,18,22,25,29,9,"90,539,172",6,"5,000,000",66,"333,886","153,610,222",2008-01-03
8003,6,8,11,13,17,19,12,"30,539,172",18,"5,000,000",76,"6,000","175,940,428",2008-01-06
8004,4,8,22,23,27,29,8,"34,402,240",5,"5,000,000",40,"309,247","154,299,042",2008-01-08
8005,3,5,15,22,24,25,15,"57,955,436",2,"5,000,000",93,"154,623","154,340,740",2008-01-10
8006,1,14,16,18,22,27,14,"89,631,944",1,"5,000,000",35,"449,100","165,907,668",2008-01-13
8007,1,13,17,22,23,30,11,"94,233,045",3,"5,000,000",26,"323,095","145,532,348",2008-01-15
8008,2,15,16,23,26,27,7,"78,226,614",6,"5,000,000",43,"139,470","150,661,200",2008-01-17
8009,9,21,29,30,31,32,16,"102,644,740",2,"5,000,000",39,"378,221","165,349,862",2008-01-20
8010,3,8,11,17,21,27,9,"30,000,000",26,"4,174,608",196,"70,179","146,738,458",2008-01-22
8011,2,14,17,21,30,32,3,"53,054,681",1,"5,000,000",21,"572,544","142,739,106",2008-01-24
8012,3,4,5,16,20,30,13,"51,190,784",8,"5,000,000",54,"64,572","154,610,224",2008-01-27
8013,2,8,15,16,22,28,10,"30,000,000",15,"3,412,718",144,"6,000","134,411,428",2008-01-29
8014,3,9,11,17,21,31,14,"19,914,148",9,"5,000,000",195,"54,756","135,835,312",2008-01-31
8015,6,8,11,16,29,33,3,"53,096,396",0,0,46,"309,151","150,230,862",2008-02-03
8016,3,12,14,21,29,33,13,"88,155,385",0,0,22,"682,967","140,568,370",2008-02-05
8017,2,5,7,17,20,22,2,"102,042,212",2,"5,000,000",50,"204,744","132,359,640",2008-02-14
8018,2,5,6,23,26,33,13,"115,153,263",1,"5,000,000",23,"1,837,353","157,186,176",2008-02-17
8019,2,9,11,17,27,31,5,"98,387,535",5,"5,000,000",103,"186,536","141,971,234",2008-02-19
8020,3,10,13,15,28,30,3,"85,157,728",8,"5,000,000",207,"55,424","146,348,748",2008-02-21
8021,9,12,19,20,26,28,15,"106,187,436",3,"5,000,000",95,"162,540","160,910,474",2008-02-24
8022,12,18,20,24,28,32,5,"120,907,235",0,0,59,"582,138","144,863,010",2008-02-26
8023,8,16,18,25,26,32,2,"112,888,712",4,"5,000,000",82,"340,936","153,560,364",2008-02-28
8024,11,20,21,26,28,30,13,"119,269,174",2,"5,000,000",30,"1,274,035","170,256,022",2008-03-02
8025,8,16,17,18,19,21,14,"125,247,286",2,"5,000,000",48,"776,713","153,154,654",2008-03-04
8026,5,17,19,27,29,32,3,"117,046,228",4,"5,000,000",42,"655,496","152,462,456",2008-03-06
8027,15,18,19,23,24,26,13,"134,342,360",0,0,37,"1,090,747","174,009,958",2008-03-09
8028,1,13,21,26,29,32,10,"139,571,098",1,"5,000,000",40,"596,676","160,518,620",2008-03-11
8029,1,9,14,22,29,32,12,"141,809,150",2,"5,000,000",44,"648,987","161,219,452",2008-03-13
8030,6,15,18,19,20,28,11,"140,137,059",3,"5,000,000",44,"706,783","179,312,028",2008-03-16
8031,3,6,11,15,21,31,13,"139,648,344",3,"5,000,000",79,"428,603","158,624,334",2008-03-18
8032,5,14,16,21,23,28,13,"157,270,392",0,0,61,"674,067","160,439,648",2008-03-20
8033,12,17,18,30,31,33,4,"166,374,754",1,"5,000,000",37,"889,464","180,595,348",2008-03-23
8034,3,5,9,11,21,29,9,"96,408,435",15,"5,000,000",123,"95,490","159,514,754",2008-03-25
8035,7,11,14,17,18,29,16,"122,288,881",1,"5,000,000",48,"275,718","157,220,200",2008-03-27
8036,2,6,13,18,23,28,16,"116,325,030",5,"5,000,000",218,"203,750","175,839,426",2008-03-30
8037,1,12,22,24,28,31,6,"102,655,300",4,"5,000,000",34,"434,430","155,799,266",2008-04-01
8038,3,9,10,11,15,19,13,"95,546,028",4,"5,000,000",38,"791,535","156,472,902",2008-04-03
8039,1,7,10,13,22,29,1,"90,042,831",3,"5,000,000",80,"50,875","167,098,814",2008-04-06
8040,6,13,22,25,27,28,9,"102,671,865",3,"5,000,000",29,"408,310","147,866,454",2008-04-08
8041,8,11,20,22,23,27,4,"108,186,443",1,"5,000,000",29,"846,000","153,107,854",2008-04-10
8042,3,4,9,11,12,24,1,"102,226,580",4,"5,000,000",168,"195,001","172,844,294",2008-04-13
8043,3,10,16,22,27,33,14,"106,605,432",2,"5,000,000",38,"882,912","152,620,756",2008-04-15
8044,5,7,9,20,26,29,9,"98,073,492",4,"5,000,000",63,"424,742","154,045,626",2008-04-17
8045,1,10,13,21,29,32,4,"122,970,012",2,"5,000,000",81,"184,637","166,853,172",2008-04-20
8046,15,16,18,24,28,33,15,"131,877,614",1,"5,000,000",21,"1,545,289","154,575,398",2008-04-22
8047,9,12,13,14,20,22,10,"127,184,673",3,"5,000,000",30,"801,660","159,224,658",2008-04-24
8048,11,18,21,27,30,32,1,"114,604,014",6,"5,000,000",66,"615,835","177,125,564",2008-04-27
8049,3,10,12,13,19,25,4,"112,085,727",3,"5,000,000",63,"462,285","156,554,264",2008-04-29
8050,1,11,19,24,26,27,3,"100,533,855",5,"5,000,000",39,"804,589","143,428,932",2008-05-01
8051,1,4,8,10,13,33,11,"87,318,515",5,"5,000,000",32,"859,298","168,795,820",2008-05-04
8052,2,10,17,23,29,31,10,"40,520,662",13,"5,000,000",311,"25,083","150,880,684",2008-05-06
8053,6,12,19,20,21,27,4,"29,018,768",8,"5,000,000",175,"69,791","150,163,792",2008-05-08
8054,2,6,16,17,20,25,7,"20,000,000",9,"3,914,695",58,"45,912","166,384,318",2008-05-11
8055,11,16,19,23,26,31,4,"41,171,283",3,"5,000,000",44,"352,317","140,054,516",2008-05-13
8056,8,13,22,23,25,30,7,"42,117,390",6,"5,000,000",65,"204,040","143,711,520",2008-05-15
8057,19,20,21,26,28,30,8,"23,571,670",5,"5,000,000",32,"86,441","157,009,320",2008-05-18
8058,1,12,21,27,29,31,11,"20,383,306",7,"5,000,000",79,"64,077","133,093,020",2008-05-20
8059,2,6,15,29,31,32,16,"50,267,824",0,0,29,"441,643","138,178,008",2008-05-22
8060,6,7,8,17,30,32,3,"64,781,184",3,"5,000,000",34,"372,017","152,605,692",2008-05-25
8061,1,2,5,12,26,31,6,"79,315,110",1,"5,000,000",14,"597,977","133,881,926",2008-05-27
8062,6,8,13,17,24,27,15,"98,202,858",2,"5,000,000",59,"209,838","137,719,710",2008-05-29
8063,5,9,11,14,16,17,15,"126,168,572",2,"5,000,000",48,"338,979","155,226,836",2008-06-01
8064,1,2,7,9,12,18,12,"101,983,920",6,"5,000,000",43,"315,561","142,377,766",2008-06-03
8065,5,13,15,19,30,31,5,"84,928,072",4,"5,000,000",69,"99,560","148,339,068",2008-06-05
8066,7,12,21,22,29,30,8,"38,711,673",11,"5,000,000",92,"40,917","157,257,472",2008-06-08
8067,10,11,15,19,26,33,13,"30,995,856",3,"5,000,000",35,"89,194","139,167,536",2008-06-10
8068,5,7,17,23,27,29,7,"37,121,202",3,"5,000,000",66,"137,177","146,064,510",2008-06-12
8069,5,8,17,20,26,30,10,"24,929,340",10,"5,000,000",76,"100,421","160,540,160",2008-06-15
8070,5,6,12,15,18,33,13,"56,125,892",0,0,25,"534,798","143,853,670",2008-06-17
8071,1,6,21,26,27,28,9,"35,692,188",6,"5,000,000",52,"78,843","149,342,332",2008-06-19
8072,1,5,10,18,22,30,9,"64,812,320",2,"5,000,000",70,"239,511","161,487,324",2008-06-22
8073,1,9,13,22,28,33,8,"82,483,486",2,"5,000,000",39,"304,078","145,507,408",2008-06-24
8074,1,11,15,19,20,24,9,"120,042,441",0,0,38,"423,597","144,760,564",2008-06-26
8075,1,8,14,18,22,30,3,"129,796,542",1,"5,000,000",32,"1,075,819","165,190,272",2008-06-29
8076,2,5,7,11,13,18,11,"133,839,763",1,"5,000,000",44,"479,564","149,452,982",2008-07-01
8077,4,12,22,26,30,33,9,"133,938,729",3,"5,000,000",27,"1,304,849","150,267,928",2008-07-03
8078,6,13,16,26,30,33,1,"135,542,103",3,"5,000,000",29,"1,335,903","163,038,372",2008-07-06
8079,3,4,5,10,20,32,9,"134,132,604",3,"5,000,000",56,"566,270","146,233,386",2008-07-08
8080,4,14,22,25,29,32,14,"131,935,706",2,"5,000,000",37,"492,087","147,833,964",2008-07-10
8081,2,12,13,18,25,31,4,"72,356,284",13,"5,000,000",182,"69,494","164,515,530",2008-07-13
8082,4,8,10,12,21,26,9,"81,260,097",3,"5,000,000",52,"197,009","145,747,052",2008-07-15
8083,7,8,9,18,29,32,9,"110,369,093",1,"5,000,000",59,"247,765","148,998,496",2008-07-17
8084,4,7,13,20,29,30,16,"96,175,310",5,"5,000,000",133,"189,582","164,902,436",2008-07-20
8085,1,4,12,20,24,29,15,"122,468,200",2,"5,000,000",29,"536,348","147,121,156",2008-07-22
8086,4,5,10,26,27,30,12,"127,320,587",1,"5,000,000",37,"621,321","149,218,680",2008-07-24
8087,1,7,26,29,30,31,6,"113,351,325",5,"5,000,000",59,"436,243","165,513,430",2008-07-27
8088,1,6,8,16,17,23,5,"101,236,320",4,"5,000,000",40,"459,958","145,378,764",2008-07-29
8089,3,6,11,16,22,27,11,"27,499,936",16,"5,000,000",192,"76,120","152,919,280",2008-07-31
8090,2,7,14,18,19,24,1,"47,964,342",3,"5,000,000",96,"158,323","161,612,270",2008-08-03
8091,3,12,14,23,31,32,10,"52,601,487",3,"5,000,000",38,"221,471","144,363,788",2008-08-05
8092,1,3,18,27,28,30,5,"39,468,357",9,"5,000,000",43,"317,610","147,648,912",2008-08-07
8093,4,10,12,16,26,28,7,"21,460,880",10,"5,000,000",84,"112,206","155,710,670",2008-08-10
8094,1,4,15,16,23,28,14,"51,035,380",0,0,45,"281,661","138,848,472",2008-08-12
8095,3,8,14,21,28,29,3,"20,550,733",11,"5,000,000",108,"77,441","141,671,626",2008-08-14
8096,6,8,12,24,27,31,14,"55,717,575",1,"5,000,000",83,"207,401","155,836,508",2008-08-17
8097,3,6,8,9,16,17,13,"53,916,840",5,"5,000,000",30,"331,418","139,512,854",2008-08-19
8098,6,7,10,11,15,30,1,"80,570,714",1,"5,000,000",55,"246,653","141,788,216",2008-08-21
8099,10,15,16,22,23,24,7,"80,391,500",7,"5,000,000",68,"219,458","161,894,814",2008-08-24
8100,8,14,17,21,27,28,14,"67,480,016",8,"5,000,000",121,"95,945","143,116,762",2008-08-26
8101,9,17,21,26,28,30,4,"45,685,017",9,"5,000,000",32,"310,781","146,389,400",2008-08-28
8102,3,7,12,21,25,32,5,"46,230,420",6,"5,000,000",106,"123,498","163,061,174",2008-08-31
8103,1,12,16,18,22,33,4,"69,864,603",3,"5,000,000",29,"570,948","145,961,956",2008-09-02
8104,3,6,8,17,24,31,1,"90,517,482",2,"5,000,000",101,"130,068","146,186,834",2008-09-04
8105,5,17,19,27,28,32,2,"62,624,640",6,"5,000,000",41,"22,026","166,483,810",2008-09-07
8106,14,19,25,27,29,30,15,"88,687,594",1,"5,000,000",24,"554,695","145,583,846",2008-09-09
8107,6,13,18,22,27,32,4,"101,974,896",4,"5,000,000",94,"151,765","145,917,756",2008-09-11
8108,9,10,15,17,23,30,12,"108,779,387",1,"5,000,000",70,"393,483","161,811,898",2008-09-14
8109,4,7,9,16,21,28,10,"46,577,706",14,"5,000,000",142,"128,141","149,534,090",2008-09-16
8110,10,16,22,23,29,31,2,"73,209,813",1,"5,000,000",35,"387,331","150,162,970",2008-09-18
8111,17,18,21,25,31,32,6,"93,807,436",2,"5,000,000",23,"570,142","165,394,226",2008-09-21
8112,5,13,14,19,22,23,6,"129,341,859",0,0,38,"400,764","147,917,738",2008-09-23
8113,6,9,10,12,17,22,9,"81,751,350",10,"5,000,000",58,"96,933","154,570,240",2008-09-25
8114,4,9,20,24,25,31,14,"95,409,920",4,"5,000,000",69,"209,059","164,160,014",2008-09-28
8115,2,12,13,14,17,18,6,"118,662,496",2,"5,000,000",35,"407,174","135,827,902",2008-09-30
8116,3,7,21,22,24,29,14,"117,526,488",3,"5,000,000",88,"367,605","131,959,380",2008-10-02
8117,3,5,7,10,14,33,7,"117,361,114",2,"5,000,000",54,"424,953","159,338,244",2008-10-05
8118,4,9,16,27,31,33,1,"123,613,595",1,"5,000,000",43,"610,599","151,771,380",2008-10-07
8119,5,7,9,15,24,29,7,"123,128,505",3,"5,000,000",45,"752,625","159,160,812",2008-10-09
8120,10,11,22,24,26,33,2,"135,033,500",1,"5,000,000",42,"939,166","177,325,446",2008-10-12
8121,2,22,23,27,31,32,6,"138,101,604",2,"5,000,000",19,"1,604,854","159,325,560",2008-10-14
8122,2,8,11,14,19,26,15,"142,776,382",2,"7,000,000",134,"255,530","183,419,190",2008-10-16
8123,10,11,15,16,25,29,2,"152,809,210",2,"7,000,000",83,"563,171","200,338,784",2008-10-19
8124,1,7,10,13,21,22,3,"157,531,410",2,"7,000,000",69,"497,852","182,202,870",2008-10-21
8125,10,11,12,15,26,29,9,"149,192,508",4,"6,000,000",41,"663,639","180,560,840",2008-10-23
8126,4,11,12,14,20,30,13,"143,629,960",4,"6,000,000",47,"716,752","198,648,614",2008-10-26
8127,5,8,19,22,27,30,13,"146,840,901",3,"6,333,333",163,"260,688","181,580,160",2008-10-28
8128,1,5,19,20,27,33,5,"141,696,972",4,"6,000,000",52,"666,618","181,169,198",2008-10-30
8129,1,3,18,24,25,32,15,"157,033,001",1,"9,000,000",100,"474,507","197,717,092",2008-11-02
8130,1,12,18,28,30,32,6,"161,632,234",2,"7,000,000",37,"920,672","181,993,644",2008-11-04
8131,2,12,15,18,22,32,8,"128,764,083",7,"5,571,428",59,"84,310","174,029,788",2008-11-06
8132,9,13,16,25,27,33,8,"135,183,556",2,"7,000,000",95,"403,285","196,454,404",2008-11-09
8133,8,11,16,19,24,26,11,"80,183,554",11,"5,363,636",79,"6,000","180,872,408",2008-11-11
8134,10,15,19,20,28,32,2,"94,010,770",5,"5,800,000",84,"198,098","184,911,938",2008-11-13
8135,5,14,15,16,19,21,15,"130,976,410",2,"7,000,000",51,"394,669","199,297,252",2008-11-16
8136,5,9,10,12,18,28,2,"143,763,910",1,"9,000,000",104,"399,078","175,281,498",2008-11-18
8137,1,4,24,28,29,33,9,"134,420,368",4,"6,000,000",21,"1,184,051","178,412,318",2008-11-20
8138,7,14,19,23,25,32,4,"116,511,474",6,"5,666,666",44,"641,195","197,283,238",2008-11-23
8139,8,9,19,23,25,26,7,"108,497,139",3,"6,333,333",47,"346,806","180,577,258",2008-11-25
8140,7,14,16,29,30,31,14,"84,161,756",7,"5,571,428",38,"654,845","182,798,276",2008-11-27
8141,3,13,20,25,29,33,15,"127,460,973",1,"9,000,000",40,"517,491","198,694,026",2008-11-30
8142,5,6,10,13,17,28,15,"110,909,554",7,"5,571,428",127,"338,950","181,220,636",2008-12-02
8143,12,17,18,19,26,27,6,"93,237,655",5,"5,800,000",85,"201,163","175,828,406",2008-12-04
8144,2,5,10,27,29,33,15,"125,100,184",4,"6,000,000",41,"542,117","194,035,022",2008-12-07
8145,7,13,18,22,26,29,2,"102,065,593",7,"5,571,428",102,"273,718","178,220,662",2008-12-09
8146,7,8,17,19,31,32,10,"77,942,543",7,"5,571,428",79,"321,260","186,410,548",2008-12-11
